SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(NC1C(C)C2N(c3ncnc4c3[nH]c(C)c4)C(C1)CC2)C(CO)C;m_274310____15937616____15943438____15869892;1;1.63;357.46
O=C(NC(C)C1(O)CN(c2ncnc3c2[nH]c(C)c3)C1)CC1(O)CCC1;m_274310____15937924____12658380____15869892;2;0.24;359.43
FC(C(=O)N1CCC(O)(CNc2ncnc3c2[nH]c(C)c3)CC1)CC;m_274310____14113060____14118998____15869892;3;1.22;349.41
O=C(CC1C2(C(O)C1)CCC2)N1CC(Nc2ncnc3c2[nH]c(C)c3)C1;m_274310____15937386____15945284____15869892;3;0.82;355.44
O=C(NC1C2(CCC1CNc1ncnc3c1[nH]c(C)c3)CCC2)[C@H](O)C;m_274310____15938174____15942712____15869892;5;1.67;357.46
