SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C12COC(C1)CC2;m_274310____15937766____15944796____15869892;5;-0.31;345.40
O=C(NC1C2(N(c3ncnc4c3[nH]c(C)c4)CC1)CCC2)CC(O)CC;m_274310____15937660____15941200____15869892;8;1.92;357.46
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)CCC1COCC1;m_274310____15937766____12658150____15869892;9;0.06;347.42
O=C(NCC(CNc1ncnc2c1[nH]c(C)c2)C)C1(O)C2CC(C1)CC2;m_274310____14112832____15945086____15869892;10;1.74;357.46
O=C(NCC1(Nc2ncnc3c2[nH]c(C)c3)CCC1)CC1(O)COCC1;m_274310____14113008____15941282____15869892;11;0.56;359.43
