SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(NCC[C@@H](Nc1ncnc2c1[nH]c(C)c2)C)CC(O)(CCC)C;m_274310____14113064____15944758____15869892;4;2.03;347.46
O=C(NCCC1CC(Nc2ncnc3c2[nH]c(C)c3)C1)CC(O)CCC;m_274310____15937752____15942470____15869892;4;2.10;359.47
O=C(NC[C@@H](Nc1ncnc2c1[nH]c(C)c2)CO)C1CC(OCC)C1;m_274310____15937766____12658346____15869892;6;0.09;347.42
O=C(N1C2CC(N(C)c3ncnc4c3[nH]c(C)c4)CC1CC2)C1(O)CC1;m_274310____15937952____15941446____15869892;6;1.73;355.44
O=C(COC)N1C(C2N(c3ncnc4c3[nH]c(C)c4)CCC2)CCCC1;m_274310____14112720____12170228____15869892;7;1.94;357.46
