SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(N1C2([C@H](O)[C@H](O)C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z4026881023;13
O=C(NC12C3(OC(C)(C1)C2)CCNCC3)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888822171;13
FC(F)(F)CCC1(O)CCN(C(=O)Nc2cc3C(=O)C=COc3cc2)CC1;Z3176691503;13
Fc1cc2C(=O)C=C(C(=O)N3[C@H](CC(=O)OC)[C@@H]4C[C@H]3CC4)Oc2cc1;s_11____16903418____55582;13
O=C(N1C2C(CO)C(C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3611183253;13
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C#N)C(C1)CCCCC2;Z3599057171;13
O=C(N1C2(CC(N)C1)CCCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888767667;14
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)C5CC4C(C3)C5)Oc2cc1;Z1998317687;14
O=C(N1C2C(O)CCC(C)(C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3591625208;14
O=C(NCC1(O)C(C)CCC1)c1cc2OC=CC(=O)c2cc1;Z2232404424;14
O=C(NCC(O)CCC1CC1)c1cc2OC=CC(=O)c2cc1;Z3652073800;14
Fc1cc2C(=O)C=C(C(=O)N3C4C(C(=O)OC)CC(C3)CC4)Oc2cc1;Z2326786655;14
Fc1cc2OC(C(=O)N3C4(C(CO)CC3)CCOCC4)=CC(=O)c2cc1;Z4025349796;14
O=C(NCC12CC3(OC)CC(C1)CC(C3)C2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3907198120;14
O=C(NCCC1(O)CCN(c2ccccc2)CC1)c1cc2OC=CC(=O)c2cc1;Z2782940350;14
O=C(N1CC2(OC[C@H]3[C@@H]2C3)CCC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3624312239;14
Clc1cc2OC(C(=O)N3CC(O)(CC#N)CC3)=CC(=O)c2cc1;Z2457682016;14
O=C(N1C(C2OCCC2)CC(C(=O)OC)CC1)C1=C(C)C(=O)c2c(O1)cccc2;Z3086856065;15
O=C(N1C(C2OCCC2)CC(C(=O)OC)CC1)c1cc2OC=CC(=O)c2cc1;Z2963269292;15
O=C(OC)C1(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)C2C(C2)CC1;m_22____15106204____16808382;15
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)CC(OC)CC1;m_272330____13770678____9701516;15
Clc1cc2C(=O)C=C(C(=O)N3C4(CC(N)C3)COCCC4)Oc2cc1;Z3521197007;15
O=C(Nc1cc2C(=O)C=COc2cc1)N1C(C(=O)O)C(C)(C)CCC1;m_272330____13770678____17522432;15
Fc1cc2C(=O)C=C(C(=O)N3C4(C(O)CC3)CSCC4)Oc2cc1;Z2676162492;15
Fc1cc2OC(C(=O)NC3CC4(N(C(OC(C)(C)C)=O)CC3)CCC4)=CC(=O)c2cc1;Z2228675612;15
O=C(N1[C@H]2[C@@](CO)(CC1)CCC2)c1cc2OC=CC(=O)c2cc1;Z2884193684;15
O=C(NC(CO)CC1CCCCC1)c1cc2OC=CC(=O)c2cc1;Z2358342028;15
Clc1cc2C(=O)C=C(C(=O)N3C(C(=O)CCC(=O)OC)CCC3)Oc2cc1;Z3209549898;15
