SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
Fc1c(O)cc(C2CN(C(=O)C=3Oc4c(c(OC)ccc4)C(=O)C=3)CCC2)cc1;Z3888946014;13;3.02;397.40
O=C(NC1C(O)CN(CCOC)CC1)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113700____14122416____14148176;18;0.16;346.38
O=C(N1[C@@H](CO)C[C@@H](C(C)(C)C)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z4095249742;20;2.83;373.45
O=C(N1C2(CC(N)C1)CCCCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888767667;20;2.22;356.42
O=C(N1C(C(=O)OC)CCC2(C1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3897323010;22;2.44;385.42
