SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCC12N(c3nc4n(C)cnc4cn3)C(CC1)CC2)C1(O)COC1;m_274310____15937394____15939740____15871032;11
O=C(N1CC(O)(CNc2nc3n(C)cnc3cn2)CCC1)C1C2(C1)CC2;m_274310____15938210____14116668____15871032;11
O=C(N[C@H]1CN(c2nc3nc[nH]c3cn2)CC1)CC1(O)COCCC1;m_274310____14112798____15940692____15870074;11
O=C(NC[C@@H](Nc1nc2nc[nH]c2cn1)CO)CC12CC(C)(OC1)C2;m_274310____15937766____15944340____15870074;11
O=C(NCC1(O)CC(Nc2nc3ncn(C)c3cn2)C1)C1N(CC)CC1;m_274310____15938284____15942610____15871096;11
O=C(CCC1NC(=O)CC1)N1CC(O)(CNc2ncnc3nc[nH]c23)C1;m_274310____15938070____15940254____12649998;11
O=C(N1[C@H]2CC(NC(=O)C3(O)CC3)C[C@@H]1CC2)c1ncnc2nc[nH]c12;m_275592____15865164____15841140____15863234;11
O=C1N(C)c2[nH]c(N3CCC4(C(=O)NCC(O)C4)CC3)nc2C(=O)N1;s_27____13225726____1324328;11
O=C(NCC(O)CNc1ncnc2n(CC)cnc12)C12CC(CC1)CC2;m_274310____14112866____14116926____12359766;11
FC(F)(F)C1(O)C2CN(c3ncnc4n(-c5ccccc5)cnc34)C(C1)C2;Z2975200257;11
O=C(NC[C@@H](Nc1ncnc2nc[nH]c12)CO)C1C(C(O)C)C1;m_274310____15937766____15944102____12649998;11
O=C(NCC1OCCN(c2ncnc3[nH]cnc23)C1)C1(c2cc(OC)ccc2)CCCC1;Z1451076360;12
O(C)c1c(CC2(O)CCN(c3nc(O)c4n(C)cnc4n3)CC2)cccc1;Z3718884828;12
Fc1ccc(CC2(CO)CN(C(=O)C(C)n3c4ncnc(N)c4nc3)CC2)cc1;Z2639566541;12
O=C(N1CCC(O)(CNc2ncnc3nc[nH]c23)CC1)C1[C@H]2[C@@H]1COC2;m_274310____14113060____14119040____12649998;12
O=C(NCCC1(O)COCCC1)CCn1c2ncnc(N)c2nc1;Z2642313878;12
O=C(NC(C)C1(O)CN(c2nc3n(C)cnc3cn2)C1)C1C2(C1)CCC2;m_274310____15937924____14116740____15871032;12
O=C(NCC1(O)CN(C(=O)C2=C(C)CCC2)C1)c1ncnc2nc[nH]c12;m_275592____14114974____15843004____15858230;12
O=C(NCCO)C1CCN(c2ncnc3n(-c4ccccc4)cnc23)CC1;Z2610927406;12
FC(F)(F)c1nc(N2C(C3COCCC3)CC(O)C2)nc2[nH]cnc12;Z3558747490;12
FC(F)(F)c1[nH]c2ncnc(N3C(C4COCCC4)CC(O)C3)c2n1;Z3558747498;12
O=C(NCC1C2C1CN(c1ncnc3nc[nH]c13)C2)CC1(O)COCC1;m_274310____14113134____15941282____12649998;12
O=C(OC)CC1CC2C(CN(c3nc(O)c4n(C)cnc4n3)CC2)CC1;Z3718936280;12
O=C(NCC1N(c2nc3nc[nH]c3cn2)CCC1C)CC(O)(C)C1CC1;m_274310____15937876____12658210____15870074;12
Clc1nc(N2C(C3COCCC3)CC(O)C2)c2ncn(C)c2n1;Z3718893830;12
O(C)c1c([C@H]2N(CCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC[C@H]2O)cccc1;Z3319497698;13
O=C(NCC1(O)C(C)(C)C(OCC)C1)CCn1c2ncnc(N)c2nc1;Z2637129154;13
O=C1N(C)C(=O)c2nc(CN3C(CCc4ccccc4)C(O)CCC3)[nH]c2N1C;Z2438167441;13
O=C(CCC1CC1)N1CC(O)(CNc2nc3ncn(C)c3cn2)CCC1;m_274310____15938210____12658082____15871096;13
O=C(NC1(C2(O)CCN(c3nc4nc[nH]c4cn3)CC2)CC1)C1CCC1;m_274310____15938318____12185804____15870074;13
O=C(N1CC(O)(CNc2ncnc3nc[nH]c23)C1)C1(C2OCCC2)CC1;m_274310____15938070____15940738____12649998;13
O(C)c1c([C@H]2N(c3nc4n(C)cnc4cn3)CC[C@H]2O)cccc1;Z3830392513;13
O=C(NCC(Nc1ncnc2nc[nH]c12)C(C)C)CC1CC(O)CC1;m_274310____14112856____15944068____12649998;13
