SMILES of Virtual Hit Molecule;Enamine ID
O=C(NC1C2(CNCCC2)CCCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888846233
Clc1cc2OC(C(=O)NC3C(O)(COC)CCOC3)=CC(=O)c2cc1;Z3207493496
Fc1c(CC2(O)CC3N(C(=O)Cn4c5ncnc(N)c5nc4)C(C2)CC3)ccc(F)c1;Z1550782188
O=C(N1CC2(C(CO)C1)CCNCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3889406584
O=C(CCn1c2ncnc(N)c2nc1)N1C(c2c(OC)cccc2)CCC(C)C1;Z2639128025
Oc1nc(N2CCC(CCc3ccc(O)cc3)CC2)nc2ncn(C)c12;s_27____215745____15341790
O=C(N1CC2C(C(=O)OC)CC(C1)CC2)C1=C(C)C(=O)c2c(O1)cccc2;Z3911199173
O=C(NC12C(N(CCCO)CC1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14114316____14122416____14147082
O=C(N1C[C@H]2[C@@H](C1)CC[C@@H](O)C2)c1cc2OC=CC(=O)c2cc1;Z2643562146
O(C)c1c(OC)ccc(CCC2N(Cc3[nH]c4N(C)C(=O)N(C)C(=O)c4n3)CCCC2)c1;Z1579636392
O(C)c1c([C@H]2N(CCn3c4C(=O)N(C)C(=O)N(C)c4nc3)CC[C@H]2O)cccc1;Z3319497698
O=C(NCC1(O)CC(Nc2nc3nc[nH]c3cn2)C1)C(CCOC)C;m_274310____15938284____14119722____15870074
O=C(N(Cc1ccccc1)CC1(O)CCCC1)CCn1c2ncnc(N)c2nc1;Z2633641726
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)C5CC4C(C3)C5)Oc2cc1;Z1998317687
O=C(NCC(O)CNc1nc2nc[nH]c2cn1)CC1(OC)CCC1;m_274310____14112866____12658290____15870074
OC1CN(c2ncnc3n(-c4ccccc4)cnc23)C(C2COCCC2)C1;Z2613402802
OC1CN(c2nc(Nc3ccccc3)c3[nH]cnc3n2)C(C2COCCC2)C1;Z2613402978
O=C(N(CC1(O)CCOCC1)C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3991096634
