SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O=C(NCC1(O)c2c(ccc(OC)c2)CC1)c1ncnc2nc[nH]c12;s_22____16503380____12807966;1;0.23;339.35
O=C(N([C@@H](C(C)C)CO)Cc1ccc(OC)cc1)CCc1[nH]c2C(=O)NC(=O)N(C)c2n1;Z1680917029;2;0.83;443.50
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4C5C6C(C(C4)CC5)CN(Cc4ccccc4)C6)c3nc2)O1;Z2523961968;3;0.74;492.58
O(C)c1cc(CC2CCN(c3nc4n(C)cnc4cn3)CC2)c(O)cc1;Z4027520253;4;2.56;353.43
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2c3ncnc(N4CC5(c6c(ccc(O)c6)C4)CC5)c3nc2)O1;Z2186044869;5;-0.08;425.44
