SMILES of Virtual Hit Molecule;Enamine ID;Rank
Fc1cc2OC(C(=O)N3C4CC(O)(Cc5ccccc5)CC3CC4)=CC(=O)c2cc1;Z2184309377;31
O=C(Nc1cc2C(=O)C=COc2cc1)N1CC2(C(O)CC1)CCOCC2;Z3599058310;32
Clc1cc2OC(C(=O)NC[C@@H](O)CN3CCCCC3)=CC(=O)c2cc1;Z2779212098;33
O=C(OC)C1(NC(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)C2C(C2)CC1;m_22____15106204____16808382;34
O=C(N1C[C@@H](CO)[C@H](C2CCOCC2)C1)C1=C(C)C(=O)c2c(O1)cccc2;Z3911819863;34
O=C(NC1C2(C(NCCO)C1)CCC2)C=1Oc2c(C(=O)C=1)cccc2;m_275030____14113586____14122416____14147280;35
Clc1cc2C(=O)C=C(C(=O)N3C4C(O)CCC(C4)CC3)Oc2cc1;Z3584997642;35
FC(F)(F)C(NC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC1NCCCC1;Z3889056007;35
O=C(N1CC2(CSCC2)CCC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3992200523;35
O=C(O)CC(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)C1CC1;s_269946____12116214____16808394;35
Fc1cc2OC(C(=O)N3C4(CC(O)C3)CCC4)=CC(=O)c2cc1;Z3628548877;36
O=C(N1C2([C@H](O)[C@H](O)C1)CCC2)C1=C(C)C(=O)c2c(O1)cccc2;Z4026881023;36
O=C(N1C2C(O)CCC(C)(C1)C2)C1=C(C)C(=O)c2c(O1)cccc2;Z3591625208;36
O=C(CO)N1C2CC(CNC(=O)C=3Oc4c(C(=O)C=3)cccc4)(OC2)C1;m_275592____15865162____14135622____15855972;36
O=C(N)CC1N(C(=O)C=2Oc3c(c(OC)ccc3)C(=O)C=2)CC(C)(C)C1;s_22____16809806____16808382;36
O=C(N1C(C)C(C(=O)N)CCC1C)C=1Oc2c(c(OC)ccc2)C(=O)C=1;s_22____11945900____16808382;36
O=C(C)N1CCC(NC(=O)C=2Oc3c(C(=O)C=2)cccc3)(COC)CC1;m_275592____15865116____14135622____13186206;36
