SMILES;Enamine ID;Rank;CLogP (o/w);"Molecular Weight (MW; g · mol-1)"
O(C)c1ccc(C=2C(=O)c3c(c(CCN4C(=O)CC(C(C)(C)C)C4)c(O)cc3)OC=2)cc1;Z1651521127;1;3.73;435.52
O=C(OC)C1(C2(O)CN(C(=O)C=3Oc4c(C(=O)C=3)cccc4)CCC2)CCC1;Z2964520067;2;1.48;385.42
O=C(NCC1(O)c2c(cc(OC)cc2)CC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3892784844;3;2.30;395.41
FC(F)(F)CCC(O)(CNC(=O)C=1Oc2c(c(OC)ccc2)C(=O)C=1)CC;Z3992739608;6;2.77;387.35
O=C(N1CC(O)(Cc2onc(C(C)C)n2)CCC1)c1c2OC(c3ccccc3)=C(C)C(=O)c2ccc1;Z2653912141;10;3.48;487.56
