SMILES of Virtual Hit Molecule;Enamine ID;Rank
O=C(NCCC1(O)CN(C(=O)C=2Oc3c(C(=O)C=2)cccc3)C1)CO;m_275592____15865156____15841508____14129018;11
Fc1cc2OC(C(=O)NC3CC4(OC)CC(C3)CCC4)=CC(=O)c2cc1;Z3742789920;11
O=C(N1C(C)CCC2C1CCCC2)c1cc2OC=CC(=O)c2cc1;Z3648701483;11
Clc1cc2C(=O)C=C(c3onc(C4CN(CC5CCCCC5)C(=O)CC4)n3)Oc2cc1;Z2651716807;11
Fc1cc2C(=O)C=C(C(=O)N3C4C5(C(C)(C)C(C4)CC5)CC3)Oc2cc1;s_11____14597902____55582;11
Clc1cc2OC(C(=O)N3C4(C(=O)OCC4)CCC3)=CC(=O)c2cc1;Z2372324030;11
O=C(N1C(C(=O)OC)CCC2(C1)CCC2)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3897323010;12
O=C(Nc1cc2C(=O)C=COc2cc1)N1[C@H](C(=O)O)C[C@H]2[C@@H]1CCC2;Z3254555959;12
O=C(N1[C@@H]([C@H](O)CC1)c1c(OC)cccc1)C1=C(C)C(=O)c2c(O1)cccc2;Z3585820662;12
O=C(N(Cc1ccccc1)[C@H]1[C@H](O)CNC1)C=1Oc2c(c(OC)ccc2)C(=O)C=1;Z3888779761;12
Clc1cc2OC(C(=O)N3[C@@H]4[C@H](C5(C3)CCOCC5)CCC4)=CC(=O)c2cc1;Z2373329143;12
Clc1cc2OC(C(=O)N3C(C(=O)OC)CC4(C3)CCC4)=CC(=O)c2cc1;Z3625779712;12
Fc1cc2OC(C(=O)N3C(C(=O)OC)(COC)CCCC3)=CC(=O)c2cc1;Z2817958473;12
O=C(N1CC2(c3c(cccc3)CCC2)CCC1)c1cc2OC=CC(=O)c2cc1;Z1997073523;12
Clc1cc2C(=O)C=C(C(=O)N3C4(C5N(CC3)CCC5)CC(N)C4)Oc2cc1;Z3040124420;12
Clc1cc2C(=O)C=C(C(=O)N3[C@@H]4[C@H](CO)C[C@H]3CC4)Oc2cc1;Z3633655835;12
